date,final_aqi
2022-01-01,300.0
2022-01-02,317.98816568047334
2022-01-03,317.98816568047334
2022-01-04,317.98816568047334
2022-01-05,256.95652173913044
2022-01-06,317.98816568047334
2022-01-07,300.0
2022-01-08,162.40506329113924
2022-01-09,100.0
2022-01-10,200.0
2022-01-11,149.873417721519
2022-01-12,200.0
2022-01-13,228.2608695652174
2022-01-14,242.6086956521739
2022-01-15,256.95652173913044
2022-01-16,271.30434782608694
2022-01-17,271.30434782608694
2022-01-18,228.2608695652174
2022-01-19,339.2307692307692
2022-01-20,331.53846153846155
2022-01-21,303.84615384615387
2022-01-22,410.37278106508876
2022-01-23,286.6666666666667
2022-01-24,300.7692307692308
2022-01-25,320.0
2022-01-26,326.15384615384613
2022-01-27,335.38461538461536
2022-01-28,325.38461538461536
2022-01-29,322.3076923076923
2022-01-30,334.61538461538464
2022-01-31,340.0
2022-02-01,336.15384615384613
2022-02-02,340.0
2022-02-03,329.2307692307692
2022-02-04,256.6666666666667
2022-02-05,321.53846153846155
2022-02-06,330.0
2022-02-07,306.15384615384613
2022-02-08,236.66666666666669
2022-02-09,301.53846153846155
2022-02-10,326.15384615384613
2022-02-11,315.38461538461536
2022-02-12,327.6923076923077
2022-02-13,336.15384615384613
2022-02-14,323.84615384615387
2022-02-15,296.6666666666667
2022-02-16,243.33333333333334
2022-02-17,303.84615384615387
2022-02-18,321.53846153846155
2022-02-19,326.9230769230769
2022-02-20,329.2307692307692
2022-02-21,330.7692307692308
2022-02-22,320.0
2022-02-23,316.9230769230769
2022-02-24,334.61538461538464
2022-02-25,333.0769230769231
2022-02-26,324.61538461538464
2022-02-27,328.46153846153845
2022-02-28,336.15384615384613
2022-03-01,337.6923076923077
2022-03-02,337.6923076923077
2022-03-03,332.3076923076923
2022-03-04,313.84615384615387
2022-03-05,328.46153846153845
2022-03-06,336.15384615384613
2022-03-07,331.53846153846155
2022-03-08,327.6923076923077
2022-03-09,336.15384615384613
2022-03-10,338.46153846153845
2022-03-11,336.15384615384613
2022-03-12,324.61538461538464
2022-03-13,313.84615384615387
2022-03-14,323.84615384615387
2022-03-15,330.7692307692308
2022-03-16,323.0769230769231
2022-03-17,326.15384615384613
2022-03-18,322.3076923076923
2022-03-19,256.6666666666667
2022-03-20,200.0
2022-03-21,200.0
2022-03-22,301.53846153846155
2022-03-23,276.6666666666667
2022-03-24,317.6923076923077
2022-03-25,233.33333333333334
2022-03-26,170.0
2022-03-27,174.9367088607595
2022-03-28,206.66666666666666
2022-03-29,216.66666666666666
2022-03-30,183.33333333333334
2022-03-31,331.85714285714283
2022-04-01,330.57142857142856
2022-04-02,336.81632653061223
2022-04-03,332.40816326530614
2022-04-04,332.7755102040816
2022-04-05,332.9591836734694
2022-04-06,338.6530612244898
2022-04-07,334.61224489795916
2022-04-08,332.59183673469386
2022-04-09,333.6938775510204
2022-04-10,333.6938775510204
2022-04-11,334.0612244897959
2022-04-12,334.2448979591837
2022-04-13,333.8775510204082
2022-04-14,337.734693877551
2022-04-15,337.36734693877554
2022-04-16,325.2448979591837
2022-04-17,324.14285714285717
2022-04-18,162.40506329113924
2022-04-19,216.66666666666666
2022-04-20,163.33333333333334
2022-04-21,306.9230769230769
2022-04-22,316.9230769230769
2022-04-23,307.6923076923077
2022-04-24,223.33333333333334
2022-04-25,296.6666666666667
2022-04-26,210.0
2022-04-27,187.46835443037975
2022-04-28,213.33333333333334
2022-04-29,203.33333333333334
2022-04-30,296.0
2022-05-01,285.0
2022-05-02,228.2608695652174
2022-05-03,154.03770257859412
2022-05-04,121.88258204882365
2022-05-05,162.40506329113924
2022-05-06,173.33333333333334
2022-05-07,190.0
2022-05-08,124.81012658227849
2022-05-09,112.27848101265823
2022-05-10,140.0
2022-05-11,140.0
2022-05-12,124.81012658227849
2022-05-13,137.34177215189874
2022-05-14,124.81012658227849
2022-05-15,124.81012658227849
2022-05-16,124.81012658227849
2022-05-17,168.7718120805369
2022-05-18,136.21476510067114
2022-05-19,112.27848101265823
2022-05-20,101.66442953020135
2022-05-21,101.66442953020135
2022-05-22,140.86577181208054
2022-05-23,100.0
2022-05-24,149.873417721519
2022-05-25,228.2608695652174
2022-05-26,231.84782608695653
2022-06-01,111.50325868106215
2022-06-02,256.95652173913044
2022-06-03,228.2608695652174
2022-06-04,242.6086956521739
2022-06-05,256.95652173913044
2022-06-06,271.30434782608694
2022-06-07,271.30434782608694
2022-06-08,300.0
2022-06-09,329.70414201183434
2022-06-10,300.0
2022-06-11,174.9367088607595
2022-06-12,174.9367088607595
2022-06-13,174.9367088607595
2022-06-14,174.9367088607595
2022-06-15,187.46835443037975
2022-06-16,200.0
2022-06-17,162.40506329113924
2022-06-18,174.9367088607595
2022-06-19,162.40506329113924
2022-06-20,149.873417721519
2022-06-21,149.873417721519
2022-06-22,137.34177215189874
2022-06-23,162.40506329113924
2022-06-24,137.34177215189874
2022-06-25,133.33333333333334
2022-06-26,149.873417721519
2022-06-27,149.873417721519
2022-06-28,174.9367088607595
2022-06-29,149.873417721519
2022-06-30,137.34177215189874
2022-07-01,136.66666666666669
2022-07-02,124.81012658227849
2022-07-03,137.34177215189874
2022-07-04,137.34177215189874
2022-07-05,124.81012658227849
2022-07-06,100.0
2022-07-07,100.0
2022-07-08,90.0
2022-07-09,75.0
2022-07-10,80.0
2022-07-11,86.66666666666667
2022-07-12,267.32736842105265
2022-07-13,100.0
2022-07-14,112.27848101265823
2022-07-15,112.27848101265823
2022-07-16,112.27848101265823
2022-07-17,112.27848101265823
2022-07-18,100.0
